instrument_id,code,exchange,name,industry,pool,default_active,source
legacy:地平线机器人-W,,,地平线机器人-W,汽车零部件Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:药明合联,,,药明合联,医疗服务[HK],核心股票池,1,核心股票池202608.xlsx
legacy:通富微电,,,通富微电,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:贵州茅台,,,贵州茅台,白酒,核心股票池,1,核心股票池202608.xlsx
legacy:金盘科技,,,金盘科技,电网设备,核心股票池,1,核心股票池202608.xlsx
legacy:兴业银锡,,,兴业银锡,贵金属,核心股票池,1,核心股票池202608.xlsx
legacy:华锡有色,,,华锡有色,小金属,核心股票池,1,核心股票池202608.xlsx
legacy:杰瑞股份,,,杰瑞股份,专用设备,核心股票池,1,核心股票池202608.xlsx
legacy:应流股份,,,应流股份,通用设备,核心股票池,1,核心股票池202608.xlsx
legacy:天岳先进,,,天岳先进,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:胜宏科技,,,胜宏科技,元件,核心股票池,1,核心股票池202608.xlsx
legacy:建滔积层板,,,建滔积层板,电子设备和元件[HK],核心股票池,1,核心股票池202608.xlsx
legacy:圣邦股份,,,圣邦股份,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:信达生物,,,信达生物,生物科技Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:中瓷电子,,,中瓷电子,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:百济神州,,,百济神州,化学制药[HK],核心股票池,1,核心股票池202608.xlsx
legacy:麦格米特,,,麦格米特,其他电源设备,核心股票池,1,核心股票池202608.xlsx
legacy:恒立液压,,,恒立液压,工程机械,核心股票池,1,核心股票池202608.xlsx
legacy:帝尔激光,,,帝尔激光,光伏设备,核心股票池,1,核心股票池202608.xlsx
legacy:中控技术,,,中控技术,自动化设备,核心股票池,1,核心股票池202608.xlsx
legacy:泡泡玛特,,,泡泡玛特,休闲用品[HK],核心股票池,1,核心股票池202608.xlsx
legacy:菲利华,,,菲利华,军工装备,核心股票池,1,核心股票池202608.xlsx
legacy:古茗,,,古茗,休闲服务与设施[HK],核心股票池,1,核心股票池202608.xlsx
legacy:江海股份,,,江海股份,元件,核心股票池,1,核心股票池202608.xlsx
legacy:三环集团,,,三环集团,元件,核心股票池,1,核心股票池202608.xlsx
legacy:康方生物,,,康方生物,生物科技Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:彤程新材,,,彤程新材,橡胶制品,核心股票池,1,核心股票池202608.xlsx
legacy:德业股份,,,德业股份,光伏设备,核心股票池,1,核心股票池202608.xlsx
legacy:影石创新,,,影石创新,消费电子,核心股票池,1,核心股票池202608.xlsx
legacy:江丰电子,,,江丰电子,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:华虹宏力,,,华虹宏力,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:长盈通,,,长盈通,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:芯碁微装,,,芯碁微装,专用设备,核心股票池,1,核心股票池202608.xlsx
legacy:光迅科技,,,光迅科技,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:兆易创新,,,兆易创新,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:申菱环境,,,申菱环境,通用设备,核心股票池,1,核心股票池202608.xlsx
legacy:旭光电子,,,旭光电子,其他电子,核心股票池,1,核心股票池202608.xlsx
legacy:大族数控,,,大族数控,自动化设备,核心股票池,1,核心股票池202608.xlsx
legacy:德福科技,,,德福科技,电池,核心股票池,1,核心股票池202608.xlsx
legacy:国城矿业,,,国城矿业,小金属,核心股票池,1,核心股票池202608.xlsx
legacy:澜起科技,,,澜起科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:杰普特,,,杰普特,自动化设备,核心股票池,1,核心股票池202608.xlsx
legacy:欧陆通,,,欧陆通,其他电源设备,核心股票池,1,核心股票池202608.xlsx
legacy:中微公司,,,中微公司,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:盛合晶微,,,盛合晶微,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:深南电路,,,深南电路,元件,核心股票池,1,核心股票池202608.xlsx
legacy:中钨高新,,,中钨高新,小金属,核心股票池,1,核心股票池202608.xlsx
legacy:沪电股份,,,沪电股份,元件,核心股票池,1,核心股票池202608.xlsx
legacy:中际旭创,,,中际旭创,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:生益电子,,,生益电子,元件,核心股票池,1,核心股票池202608.xlsx
legacy:铜冠铜箔,,,铜冠铜箔,电池,核心股票池,1,核心股票池202608.xlsx
legacy:东山精密,,,东山精密,元件,核心股票池,1,核心股票池202608.xlsx
legacy:科翔股份,,,科翔股份,元件,核心股票池,1,核心股票池202608.xlsx
legacy:长光华芯,,,长光华芯,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:茂莱光学,,,茂莱光学,光学光电子,核心股票池,1,核心股票池202608.xlsx
legacy:生益科技,,,生益科技,元件,核心股票池,1,核心股票池202608.xlsx
legacy:绿的谐波,,,绿的谐波,自动化设备,核心股票池,1,核心股票池202608.xlsx
legacy:瑞芯微,,,瑞芯微,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:联瑞新材,,,联瑞新材,非金属材料,核心股票池,1,核心股票池202608.xlsx
legacy:长飞光纤,,,长飞光纤,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:英维克,,,英维克,专用设备,核心股票池,1,核心股票池202608.xlsx
legacy:芯源微,,,芯源微,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:长川科技,,,长川科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:科伦博泰生物,,,科伦博泰生物,生物科技Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:协创数据,,,协创数据,计算机设备,核心股票池,1,核心股票池202608.xlsx
legacy:长芯博创,,,长芯博创,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:博迁新材,,,博迁新材,能源金属,核心股票池,1,核心股票池202608.xlsx
legacy:长鑫科技,,,长鑫科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:鼎泰高科,,,鼎泰高科,通用设备,核心股票池,1,核心股票池202608.xlsx
legacy:中船特气,,,中船特气,电子化学品,核心股票池,1,核心股票池202608.xlsx
legacy:海光信息,,,海光信息,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:新易盛,,,新易盛,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:光库科技,,,光库科技,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:仕佳光子,,,仕佳光子,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:行云科技,,,行云科技,互联网电商,核心股票池,1,核心股票池202608.xlsx
legacy:宏景科技,,,宏景科技,IT服务,核心股票池,1,核心股票池202608.xlsx
legacy:芯原股份,,,芯原股份,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:云南锗业,,,云南锗业,小金属,核心股票池,1,核心股票池202608.xlsx
legacy:天孚通信,,,天孚通信,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:杰华特,,,杰华特,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:罗博特科,,,罗博特科,自动化设备,核心股票池,1,核心股票池202608.xlsx
legacy:宏和科技,,,宏和科技,电子化学品,核心股票池,1,核心股票池202608.xlsx
legacy:上纬新材,,,上纬新材,塑料制品,核心股票池,1,核心股票池202608.xlsx
legacy:寒武纪,,,寒武纪,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:源杰科技,,,源杰科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:盛科通信-U,,,盛科通信-U,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:联讯仪器,,,联讯仪器,通用设备,核心股票池,1,核心股票池202608.xlsx
legacy:智谱,,,智谱,IT服务[HK],核心股票池,1,核心股票池202608.xlsx
CN.SSE.600276,600276,SSE,恒瑞医药,化学制药,核心股票池,1,核心股票池202608.xlsx
