instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
legacy:行云科技,300209,SZ,行云科技,互联网电商,32.51,-0.108600,-0.109300,0.132753,4.965138,39.56,301.90,0.157500,1256.30,32.13,ok
legacy:宏景科技,301396,SZ,宏景科技,IT服务,192.02,-0.100700,-0.014500,-0.081288,3.067014,33.43,412.70,0.119200,340.99,34.18,ok
legacy:芯原股份,688521,SH,芯原股份,半导体,185.29,-0.131300,-0.123500,-0.226250,0.352778,52.99,974.47,0.052000,-79.60,33.31,ok
legacy:云南锗业,002428,SZ,云南锗业,小金属,104.70,-0.033200,-0.012100,0.392287,2.298677,109.98,683.82,0.158600,1877.15,46.75,ok
legacy:天孚通信,300394,SZ,天孚通信,通信设备,277.40,-0.048200,0.155600,0.274640,0.919431,175.60,3025.95,0.058000,125.63,48.43,ok
legacy:杰华特,688141,SH,杰华特,半导体,120.00,-0.164200,-0.123400,-0.165217,1.763067,31.74,540.39,0.055400,-48.91,43.29,ok
legacy:罗博特科,300757,SZ,罗博特科,自动化设备,483.01,-0.116200,-0.063600,0.115522,1.070339,43.31,809.56,0.052900,-521.39,49.80,ok
legacy:宏和科技,603256,SH,宏和科技,电子化学品,141.50,-0.100000,-0.084100,-0.087450,2.851178,26.79,1279.99,0.020900,168.65,43.40,ok
legacy:上纬新材,688585,SH,上纬新材,塑料制品,152.50,-0.193000,-0.055800,0.234818,0.197299,18.55,615.13,0.028300,-184.68,52.25,ok
legacy:寒武纪,688256,SH,寒武纪,半导体,1050.49,-0.096400,-0.049700,-0.198099,0.155962,170.03,6600.15,0.025100,142.80,47.42,ok
legacy:源杰科技,688498,SH,源杰科技,半导体,1518.10,-0.059100,0.062400,0.072862,2.429200,73.87,1890.04,0.038800,263.32,76.68,ok
legacy:盛科通信-U,688702,SH,盛科通信-U,半导体,378.00,-0.132800,-0.017900,-0.121237,1.667796,47.08,1549.80,0.058100,-2275.15,69.44,ok
legacy:联讯仪器,688808,SH,联讯仪器,通用设备,2221.02,-0.063700,-0.012000,0.176338,,25.60,2280.25,0.058000,479.43,77.74,ok
legacy:智谱,02513,HK,智谱,IT服务[HK],1001.00,-0.040300,-0.171400,-0.148936,,41.52,4660.89,0.016900,-89.60,-4.50,ok
CN.SSE.600276,600276,SSE,恒瑞医药,化学制药,52.66,0.005500,-0.031300,-0.049287,-0.113020,33.41,3495.15,0.010000,38.29,5.61,ok
