stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date
603221,爱丽家居,26.9200000000,27.6500000000,460633215.0000000000,172167.0000000000,-0.0264000000,4.6063321500,东方财富沪深京A股延迟行情直连,2026-08-25
002031,巨轮智能,5.1600000000,5.0300000000,460187254.3500000238,901574.0000000000,0.0258000000,4.6018725435,东方财富沪深京A股延迟行情直连,2026-08-25
000582,北部湾港,10.8200000000,10.4200000000,458532009.7900000215,425881.0000000000,0.0384000000,4.5853200979,东方财富沪深京A股延迟行情直连,2026-08-25
603288,海天味业,35.9600000000,35.6700000000,456690960.0000000000,127301.0000000000,0.0081000000,4.5669096000,东方财富沪深京A股延迟行情直连,2026-08-25
300957,贝泰妮,33.2000000000,31.0500000000,456357042.8000000119,139411.0000000000,0.0692000000,4.5635704280,东方财富沪深京A股延迟行情直连,2026-08-25
301232,飞沃科技,96.0500000000,96.2000000000,456298742.6600000262,48335.0000000000,-0.0016000000,4.5629874266,东方财富沪深京A股延迟行情直连,2026-08-25
300097,智云股份,10.5400000000,8.7800000000,453799961.7200000286,467012.0000000000,0.2005000000,4.5379996172,东方财富沪深京A股延迟行情直连,2026-08-25
688617,惠泰医疗,253.5200000000,258.5700000000,453065680.0000000000,17714.0000000000,-0.0195000000,4.5306568000,东方财富沪深京A股延迟行情直连,2026-08-25
300726,宏达电子,51.4800000000,52.3000000000,452974221.1399999857,89402.0000000000,-0.0157000000,4.5297422114,东方财富沪深京A股延迟行情直连,2026-08-25
603606,东方电缆,34.8000000000,34.1500000000,452459343.0000000000,130326.0000000000,0.0190000000,4.5245934300,东方财富沪深京A股延迟行情直连,2026-08-25
603236,移远通信,56.6500000000,56.9900000000,452302576.0000000000,79930.0000000000,-0.0060000000,4.5230257600,东方财富沪深京A股延迟行情直连,2026-08-25
300302,同有科技,29.2900000000,28.6800000000,451919362.4100000262,157321.0000000000,0.0213000000,4.5191936241,东方财富沪深京A股延迟行情直连,2026-08-25
002979,雷赛智能,55.4000000000,54.1500000000,451882707.4300000072,82778.0000000000,0.0231000000,4.5188270743,东方财富沪深京A股延迟行情直连,2026-08-25
688603,天承科技,103.3200000000,104.3800000000,451572880.0000000000,44839.0000000000,-0.0102000000,4.5157288000,东方财富沪深京A股延迟行情直连,2026-08-25
002229,鸿博股份,10.9100000000,10.6700000000,447422398.1200000048,417915.0000000000,0.0225000000,4.4742239812,东方财富沪深京A股延迟行情直连,2026-08-25
600809,山西汾酒,116.6600000000,117.1000000000,447186829.0000000000,38377.0000000000,-0.0038000000,4.4718682900,东方财富沪深京A股延迟行情直连,2026-08-25
002402,和而泰,18.6500000000,18.1900000000,446163773.0000000000,242196.0000000000,0.0253000000,4.4616377300,东方财富沪深京A股延迟行情直连,2026-08-25
301373,凌玮科技,94.9900000000,93.0200000000,443789143.2500000000,47849.0000000000,0.0212000000,4.4378914325,东方财富沪深京A股延迟行情直连,2026-08-25
300456,赛微电子,31.0400000000,30.8500000000,443703560.9499999881,145045.0000000000,0.0062000000,4.4370356095,东方财富沪深京A股延迟行情直连,2026-08-25
601579,会稽山,19.7000000000,20.2100000000,443553277.0000000000,223212.0000000000,-0.0252000000,4.4355327700,东方财富沪深京A股延迟行情直连,2026-08-25
001399,惠科股份,22.6000000000,22.5800000000,443360690.3199999928,198531.0000000000,0.0009000000,4.4336069032,东方财富沪深京A股延迟行情直连,2026-08-25
002249,大洋电机,6.6900000000,6.9400000000,442595652.5899999738,666639.0000000000,-0.0360000000,4.4259565259,东方财富沪深京A股延迟行情直连,2026-08-25
300001,特锐德,36.3200000000,36.2600000000,441244643.5899999738,122204.0000000000,0.0017000000,4.4124464359,东方财富沪深京A股延迟行情直连,2026-08-25
000997,新 大 陆,18.8100000000,18.3200000000,440691106.5199999809,234305.0000000000,0.0267000000,4.4069110652,东方财富沪深京A股延迟行情直连,2026-08-25
002721,金一文化,2.8000000000,2.8500000000,439493909.0000000000,1572442.0000000000,-0.0175000000,4.3949390900,东方财富沪深京A股延迟行情直连,2026-08-25
300065,海兰信,15.2500000000,14.7300000000,439095723.1999999881,292664.0000000000,0.0353000000,4.3909572320,东方财富沪深京A股延迟行情直连,2026-08-25
300546,雄帝科技,18.5400000000,19.2900000000,438366474.0000000000,232321.0000000000,-0.0389000000,4.3836647400,东方财富沪深京A股延迟行情直连,2026-08-25
301529,福赛科技,117.0100000000,110.1800000000,438202906.3299999833,39397.0000000000,0.0620000000,4.3820290633,东方财富沪深京A股延迟行情直连,2026-08-25
688380,中微半导,41.4000000000,41.4900000000,437425055.0000000000,107527.0000000000,-0.0022000000,4.3742505500,东方财富沪深京A股延迟行情直连,2026-08-25
603803,瑞斯康达,11.2500000000,11.1300000000,437419735.0000000000,392790.0000000000,0.0108000000,4.3741973500,东方财富沪深京A股延迟行情直连,2026-08-25
688653,康希通信,13.9000000000,15.3200000000,436893467.0000000000,308202.0000000000,-0.0927000000,4.3689346700,东方财富沪深京A股延迟行情直连,2026-08-25
000751,锌业股份,5.1300000000,5.2900000000,435426248.7900000215,848301.0000000000,-0.0302000000,4.3542624879,东方财富沪深京A股延迟行情直连,2026-08-25
002465,海格通信,9.9900000000,9.8200000000,434470066.5699999928,438645.0000000000,0.0173000000,4.3447006657,东方财富沪深京A股延迟行情直连,2026-08-25
688456,有研粉材,79.3900000000,80.7800000000,434439089.0000000000,55759.0000000000,-0.0172000000,4.3443908900,东方财富沪深京A股延迟行情直连,2026-08-25
300069,金利华电,26.6500000000,25.5500000000,433504297.3600000143,166767.0000000000,0.0431000000,4.3350429736,东方财富沪深京A股延迟行情直连,2026-08-25
603115,海星股份,76.2000000000,75.1300000000,433239403.0000000000,58235.0000000000,0.0142000000,4.3323940300,东方财富沪深京A股延迟行情直连,2026-08-25
600733,北汽蓝谷,4.9800000000,4.9600000000,433148730.0000000000,875389.0000000000,0.0040000000,4.3314873000,东方财富沪深京A股延迟行情直连,2026-08-25
300953,震裕科技,95.0700000000,97.6600000000,432568150.7900000215,45393.0000000000,-0.0265000000,4.3256815079,东方财富沪深京A股延迟行情直连,2026-08-25
688700,东威科技,55.1400000000,55.6300000000,431982349.0000000000,79046.0000000000,-0.0088000000,4.3198234900,东方财富沪深京A股延迟行情直连,2026-08-25
600250,南京商旅,9.5100000000,9.4900000000,430866951.0000000000,444611.0000000000,0.0021000000,4.3086695100,东方财富沪深京A股延迟行情直连,2026-08-25
300835,龙磁科技,152.2600000000,156.5200000000,430527200.9399999976,28430.0000000000,-0.0272000000,4.3052720094,东方财富沪深京A股延迟行情直连,2026-08-25
002440,闰土股份,12.0900000000,12.4000000000,428107729.2599999905,354830.0000000000,-0.0250000000,4.2810772926,东方财富沪深京A股延迟行情直连,2026-08-25
300598,诚迈科技,32.3500000000,32.7800000000,427751104.9499999881,132630.0000000000,-0.0131000000,4.2775110495,东方财富沪深京A股延迟行情直连,2026-08-25
001696,宗申动力,15.0100000000,14.8400000000,425114309.9800000191,285458.0000000000,0.0115000000,4.2511430998,东方财富沪深京A股延迟行情直连,2026-08-25
000155,川能动力,12.0200000000,12.1100000000,424467552.0299999714,352468.0000000000,-0.0074000000,4.2446755203,东方财富沪深京A股延迟行情直连,2026-08-25
600157,永泰能源,1.5700000000,1.5700000000,424374088.0000000000,2702084.0000000000,0.0000000000,4.2437408800,东方财富沪深京A股延迟行情直连,2026-08-25
300012,华测检测,15.1500000000,15.1600000000,424041302.3700000048,281472.0000000000,-0.0007000000,4.2404130237,东方财富沪深京A股延迟行情直连,2026-08-25
688158,优刻得-W,29.7500000000,30.0000000000,423539511.0000000000,143784.0000000000,-0.0083000000,4.2353951100,东方财富沪深京A股延迟行情直连,2026-08-25
688515,裕太微-U,148.4400000000,148.8000000000,423333144.0000000000,29067.0000000000,-0.0024000000,4.2333314400,东方财富沪深京A股延迟行情直连,2026-08-25
600508,上海能源,10.8700000000,9.8800000000,423240487.0000000000,390858.0000000000,0.1002000000,4.2324048700,东方财富沪深京A股延迟行情直连,2026-08-25
000683,博源化工,6.1700000000,6.1400000000,422941129.2400000095,689368.0000000000,0.0049000000,4.2294112924,东方财富沪深京A股延迟行情直连,2026-08-25
600436,片仔癀,126.1400000000,123.7600000000,422903484.0000000000,33805.0000000000,0.0192000000,4.2290348400,东方财富沪深京A股延迟行情直连,2026-08-25
300747,锐科激光,35.7000000000,35.4200000000,422623757.0699999928,120169.0000000000,0.0079000000,4.2262375707,东方财富沪深京A股延迟行情直连,2026-08-25
000425,徐工机械,8.0200000000,7.9400000000,421303199.1100000143,526675.0000000000,0.0101000000,4.2130319911,东方财富沪深京A股延迟行情直连,2026-08-25
300004,南风股份,9.1700000000,9.4900000000,420435390.1700000167,453414.0000000000,-0.0337000000,4.2043539017,东方财富沪深京A股延迟行情直连,2026-08-25
300945,曼卡龙,12.9300000000,12.9600000000,420152422.4700000286,314950.0000000000,-0.0023000000,4.2015242247,东方财富沪深京A股延迟行情直连,2026-08-25
600714,金瑞矿业,17.2600000000,15.6900000000,420095176.0000000000,265191.0000000000,0.1001000000,4.2009517600,东方财富沪深京A股延迟行情直连,2026-08-25
603026,石大胜华,62.2000000000,63.9000000000,420074394.0000000000,67730.0000000000,-0.0266000000,4.2007439400,东方财富沪深京A股延迟行情直连,2026-08-25
688102,斯瑞新材,32.4000000000,31.9200000000,420036430.0000000000,131128.0000000000,0.0150000000,4.2003643000,东方财富沪深京A股延迟行情直连,2026-08-25
300839,博汇股份,12.9700000000,14.1200000000,419934748.5000000000,324256.0000000000,-0.0814000000,4.1993474850,东方财富沪深京A股延迟行情直连,2026-08-25
002335,科华数据,30.3300000000,29.7200000000,419769403.0400000215,139563.0000000000,0.0205000000,4.1976940304,东方财富沪深京A股延迟行情直连,2026-08-25
002640,跨境通,3.3200000000,3.1500000000,419751736.1399999857,1280262.0000000000,0.0540000000,4.1975173614,东方财富沪深京A股延迟行情直连,2026-08-25
603063,禾望电气,30.6700000000,30.7800000000,418973417.0000000000,137340.0000000000,-0.0036000000,4.1897341700,东方财富沪深京A股延迟行情直连,2026-08-25
300432,富临精工,15.7000000000,16.0500000000,418341867.3500000238,266272.0000000000,-0.0218000000,4.1834186735,东方财富沪深京A股延迟行情直连,2026-08-25
688332,中科蓝讯,87.8500000000,88.8600000000,418128945.0000000000,48279.0000000000,-0.0114000000,4.1812894500,东方财富沪深京A股延迟行情直连,2026-08-25
601011,宝泰隆,2.9400000000,3.0000000000,417663296.0000000000,1435791.0000000000,-0.0200000000,4.1766329600,东方财富沪深京A股延迟行情直连,2026-08-25
