日期,开盘价,最高价,最低价,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理
2026-03-10,1348.5380000000,1366.7190000000,1348.5380000000,1366.5490000000,2834060300,53415839000.0000000000,0.0199367535,,同花顺概念指数历史,0.9056248703
2026-03-11,1368.4630000000,1368.6650000000,1354.8690000000,1358.0750000000,2589599800,48087744000.0000000000,-0.0062010217,,同花顺概念指数历史,0.8333610707
2026-03-12,1357.9410000000,1357.9410000000,1342.2160000000,1346.8030000000,2727295000,47542290000.0000000000,-0.0082999834,,同花顺概念指数历史,0.8822278478
2026-03-13,1344.3880000000,1356.2730000000,1338.9180000000,1341.1420000000,2843220900,49115593000.0000000000,-0.0042032873,,同花顺概念指数历史,0.9211996939
2026-03-16,1340.2070000000,1352.1330000000,1338.5590000000,1348.4030000000,2659303100,48802264000.0000000000,0.0054140427,,同花顺概念指数历史,0.8870126945
2026-03-17,1349.2000000000,1365.0500000000,1337.8050000000,1337.8050000000,2948699500,55893331000.0000000000,-0.0078596681,,同花顺概念指数历史,0.9939968456
2026-03-18,1339.5260000000,1349.6930000000,1332.0020000000,1349.1450000000,2503018000,47202002000.0000000000,0.0084765717,,同花顺概念指数历史,0.8572553520
2026-03-19,1338.6870000000,1342.4420000000,1314.2370000000,1318.0910000000,2734534900,47340291000.0000000000,-0.0230175407,,同花顺概念指数历史,0.9379845447
2026-03-20,1320.3550000000,1329.6710000000,1291.0530000000,1291.0530000000,2744474600,47375543000.0000000000,-0.0205129995,,同花顺概念指数历史,0.9436165499
2026-03-23,1273.0610000000,1273.0610000000,1212.3800000000,1219.0790000000,4105348700,65048404000.0000000000,-0.0557482923,,同花顺概念指数历史,1.3737924286
2026-03-24,1240.8250000000,1265.5550000000,1233.8320000000,1265.3230000000,3307770400,56504142000.0000000000,0.0379335548,,同花顺概念指数历史,1.0940428090
2026-03-25,1271.8670000000,1285.0280000000,1271.1940000000,1280.2840000000,2694454700,47204247000.0000000000,0.0118238584,,同花顺概念指数历史,0.8964169774
2026-03-26,1280.3280000000,1299.1790000000,1265.7370000000,1269.8170000000,2684795100,48396698000.0000000000,-0.0081755298,,同花顺概念指数历史,0.8984949393
2026-03-27,1259.4740000000,1324.0390000000,1259.2850000000,1322.6710000000,3958370000,76399719000.0000000000,0.0416233205,,同花顺概念指数历史,1.2956523903
2026-03-30,1313.9640000000,1340.8340000000,1313.9150000000,1338.7040000000,4251177200,79534650000.0000000000,0.0121216841,,同花顺概念指数历史,1.3842037585
2026-03-31,1339.6020000000,1361.5070000000,1332.9410000000,1333.7770000000,4193850000,80140992000.0000000000,-0.0036804252,,同花顺概念指数历史,1.3564445664
2026-04-01,1347.9050000000,1396.7730000000,1338.2280000000,1396.7730000000,5901600500,119641735000.0000000000,0.0472312838,,同花顺概念指数历史,1.8232449585
2026-04-02,1395.0010000000,1421.4960000000,1391.1040000000,1409.2410000000,7076879900,125063983000.0000000000,0.0089262894,,同花顺概念指数历史,2.0437778139
2026-04-03,1393.3760000000,1396.8770000000,1372.2770000000,1374.7420000000,6525859300,102658494000.0000000000,-0.0244805537,,同花顺概念指数历史,1.7975847108
2026-04-07,1374.5190000000,1394.4570000000,1349.6910000000,1382.5680000000,6378103800,92597098000.0000000000,0.0056927045,,同花顺概念指数历史,1.6859371303
2026-04-08,1399.8220000000,1409.7830000000,1380.2600000000,1398.1480000000,6593767400,105078141000.0000000000,0.0112688851,,同花顺概念指数历史,1.6604359510
2026-04-09,1390.6070000000,1412.9320000000,1370.4970000000,1373.3070000000,6434807400,98375684000.0000000000,-0.0177670747,,同花顺概念指数历史,1.5455779281
2026-04-10,1372.8260000000,1395.5180000000,1363.9240000000,1377.2300000000,5795706400,88543631000.0000000000,0.0028566082,,同花顺概念指数历史,1.3425972324
2026-04-13,1371.2330000000,1371.2750000000,1358.1810000000,1363.1160000000,4586953800,77393033000.0000000000,-0.0102481067,,同花顺概念指数历史,1.0415488547
2026-04-14,1368.6940000000,1374.5730000000,1350.2050000000,1374.5730000000,4593655100,77283868000.0000000000,0.0084050074,,同花顺概念指数历史,1.0206554411
2026-04-15,1390.9870000000,1410.4760000000,1369.9530000000,1403.6820000000,7530670400,117854984000.0000000000,0.0211767582,,同花顺概念指数历史,1.5921786361
2026-04-16,1399.9390000000,1403.1900000000,1386.5440000000,1402.4050000000,6624268500,94690671000.0000000000,-0.0009097502,,同花顺概念指数历史,1.3420718361
2026-04-17,1397.3800000000,1397.3800000000,1372.3380000000,1382.7420000000,5320024800,87904816000.0000000000,-0.0140209141,,同花顺概念指数历史,1.0503240896
2026-04-20,1380.2050000000,1383.9940000000,1374.8410000000,1380.8920000000,4617762500,76197987000.0000000000,-0.0013379213,,同花顺概念指数历史,0.8951248918
2026-04-21,1378.1620000000,1387.3590000000,1359.9560000000,1365.8780000000,4097964700,65090062000.0000000000,-0.0108726823,,同花顺概念指数历史,0.7944221362
2026-04-22,1361.4240000000,1373.0280000000,1355.9640000000,1372.9870000000,3923797000,65602156000.0000000000,0.0052047108,,同花顺概念指数历史,0.7561433915
2026-04-23,1370.2230000000,1370.2230000000,1350.4740000000,1354.2920000000,4282019900,77512763000.0000000000,-0.0136162979,,同花顺概念指数历史,0.8127431444
2026-04-24,1347.9360000000,1353.6780000000,1335.1810000000,1346.8000000000,4071455500,70721005000.0000000000,-0.0055320418,,同花顺概念指数历史,0.7627398470
2026-04-27,1342.8730000000,1349.5160000000,1332.5160000000,1348.6490000000,4423257200,74515497000.0000000000,0.0013728839,,同花顺概念指数历史,0.8250530613
2026-04-28,1348.1240000000,1364.5160000000,1337.1040000000,1341.5950000000,4616249400,86470922000.0000000000,-0.0052304195,,同花顺概念指数历史,0.8581294123
2026-04-29,1335.6760000000,1350.3400000000,1329.7670000000,1345.7530000000,4336732000,84815634000.0000000000,0.0030992960,,同花顺概念指数历史,0.8050998215
2026-04-30,1343.9190000000,1358.5880000000,1339.5220000000,1346.9910000000,3998292700,76506389000.0000000000,0.0009199311,,同花顺概念指数历史,0.7556193252
2026-05-06,1347.6690000000,1356.1830000000,1347.4410000000,1352.8280000000,4264564600,83059270000.0000000000,0.0043333623,,同花顺概念指数历史,0.8279428878
2026-05-07,1353.7460000000,1358.5390000000,1347.6700000000,1354.5940000000,3813565900,73846607000.0000000000,0.0013054135,,同花顺概念指数历史,0.7604044476
2026-05-08,1355.6960000000,1358.3300000000,1349.3650000000,1354.5720000000,3856626800,72496205000.0000000000,-0.0000162410,,同花顺概念指数历史,0.7888202735
2026-05-11,1354.8490000000,1379.2690000000,1345.5990000000,1376.7460000000,5780434100,106434156000.0000000000,0.0163697463,,同花顺概念指数历史,1.1922254542
2026-05-12,1371.3390000000,1371.3390000000,1352.2030000000,1356.7620000000,5137499600,103909918000.0000000000,-0.0145153863,,同花顺概念指数历史,1.0739874574
2026-05-13,1356.1260000000,1357.1140000000,1342.8210000000,1350.9380000000,4338551800,83226696000.0000000000,-0.0042925731,,同花顺概念指数历史,0.9209959991
2026-05-14,1349.9920000000,1353.2840000000,1324.3200000000,1324.3200000000,4302248000,81039340000.0000000000,-0.0197033469,,同花顺概念指数历史,0.9160575889
2026-05-15,1322.9200000000,1329.8960000000,1305.5920000000,1312.8810000000,3706445900,72533035000.0000000000,-0.0086376404,,同花顺概念指数历史,0.7967216351
2026-05-18,1308.9040000000,1308.9040000000,1289.6340000000,1297.1700000000,3429745700,63986808000.0000000000,-0.0119668119,,同花顺概念指数历史,0.7712362498
2026-05-19,1297.1160000000,1309.8390000000,1290.6970000000,1305.0110000000,3031830700,58086976000.0000000000,0.0060446973,,同花顺概念指数历史,0.7104543125
2026-05-20,1301.4940000000,1302.9090000000,1283.4350000000,1294.0590000000,3519391300,62809967000.0000000000,-0.0083922664,,同花顺概念指数历史,0.8424792846
2026-05-21,1294.9290000000,1313.3020000000,1276.4600000000,1277.3010000000,3983285000,82542370000.0000000000,-0.0129499505,,同花顺概念指数历史,0.9608237517
2026-05-22,1282.3460000000,1284.0640000000,1264.3820000000,1275.6430000000,3253716800,65337197000.0000000000,-0.0012980496,,同花顺概念指数历史,0.7929153896
2026-05-25,1276.4140000000,1280.3650000000,1253.1740000000,1264.2200000000,3480683500,63176047000.0000000000,-0.0089546997,,同花顺概念指数历史,0.8528307325
2026-05-26,1261.3910000000,1261.3910000000,1237.9350000000,1249.6440000000,3346794900,60310869000.0000000000,-0.0115296388,,同花顺概念指数历史,0.8295298102
2026-05-27,1248.6890000000,1248.6890000000,1225.2790000000,1237.4300000000,3552867000,64967012000.0000000000,-0.0097739836,,同花顺概念指数历史,0.8863025260
2026-05-28,1235.9960000000,1237.6380000000,1212.8580000000,1227.2100000000,3117332800,59012349000.0000000000,-0.0082590530,,同花顺概念指数历史,0.7905304863
2026-05-29,1230.2920000000,1245.8100000000,1219.8580000000,1231.0820000000,4049045800,80473801000.0000000000,0.0031551242,,同花顺概念指数历史,1.0342435877
2026-06-01,1230.5160000000,1245.0300000000,1228.8310000000,1235.3510000000,3542937900,71703673000.0000000000,0.0034676813,,同花顺概念指数历史,0.9142374173
2026-06-02,1233.6250000000,1233.9460000000,1206.8860000000,1212.6210000000,3183804300,58393105000.0000000000,-0.0183996289,,同花顺概念指数历史,0.8302900836
2026-06-03,1210.4210000000,1210.4210000000,1192.3390000000,1198.2170000000,3257745100,56900765000.0000000000,-0.0118784022,,同花顺概念指数历史,0.8608745048
2026-06-04,1194.8750000000,1197.8840000000,1172.3680000000,1178.8460000000,2896322000,50326704000.0000000000,-0.0161665208,,同花顺概念指数历史,0.7747562508
2026-06-05,1186.6210000000,1193.5660000000,1177.1110000000,1181.2440000000,3282459700,57996379000.0000000000,0.0020341928,,同花顺概念指数历史,0.8848418104
2026-06-08,1164.6890000000,1181.3470000000,1138.4500000000,1151.0100000000,3495249300,55877149000.0000000000,-0.0255950506,,同花顺概念指数历史,0.9721453483
2026-06-09,1156.1940000000,1162.9680000000,1139.0460000000,1155.3150000000,2923199500,50059806000.0000000000,0.0037401934,,同花顺概念指数历史,0.8388710324
2026-06-10,1150.3540000000,1158.3650000000,1136.3130000000,1155.2430000000,3013185400,49405069000.0000000000,-0.0000623207,,同花顺概念指数历史,0.8814569952
2026-06-11,1147.5820000000,1153.1350000000,1128.9670000000,1139.9590000000,3034886200,52650605000.0000000000,-0.0132301170,,同花顺概念指数历史,0.9045735295
2026-06-12,1145.6830000000,1163.8980000000,1135.3440000000,1162.3590000000,3890788200,71370486000.0000000000,0.0196498295,,同花顺概念指数历史,1.1565051716
2026-06-15,1161.7310000000,1172.8960000000,1154.7670000000,1162.4280000000,3378127800,56976831000.0000000000,0.0000593620,,同花顺概念指数历史,1.0048919371
2026-06-16,1161.2880000000,1161.2880000000,1142.7460000000,1152.4850000000,3009367100,52407917000.0000000000,-0.0085536481,,同花顺概念指数历史,0.8954958595
2026-06-17,1150.3490000000,1150.5020000000,1136.4840000000,1141.5560000000,2867147200,49560980000.0000000000,-0.0094829868,,同花顺概念指数历史,0.8615362453
2026-06-18,1139.8790000000,1165.5100000000,1129.0630000000,1151.7560000000,3498229000,69256650000.0000000000,0.0089351727,,同花顺概念指数历史,1.0588839333
2026-06-22,1145.9700000000,1150.0990000000,1108.2300000000,1149.6290000000,4262972000,77468375000.0000000000,-0.0018467453,,同花顺概念指数历史,1.2709517477
2026-06-23,1147.0240000000,1198.7510000000,1146.9510000000,1184.5650000000,5023542100,89792942000.0000000000,0.0303889342,,同花顺概念指数历史,1.4640345812
2026-06-24,1185.5630000000,1203.5250000000,1175.3920000000,1177.7450000000,5176320500,98023294000.0000000000,-0.0057573877,,同花顺概念指数历史,1.4693865991
2026-06-25,1168.2420000000,1171.3380000000,1135.1470000000,1163.1250000000,4809212200,90851463000.0000000000,-0.0124135530,,同花顺概念指数历史,1.3412596618
2026-06-26,1158.0130000000,1161.7580000000,1119.6210000000,1119.6210000000,4083118900,78450969000.0000000000,-0.0374026867,,同花顺概念指数历史,1.1236242028
2026-06-29,1118.6680000000,1189.0290000000,1101.6110000000,1187.6380000000,5958894900,123952304000.0000000000,0.0607500217,,同花顺概念指数历史,1.5978264876
2026-06-30,1182.6910000000,1190.3610000000,1161.6370000000,1172.0500000000,5080404900,102591440000.0000000000,-0.0131252116,,同花顺概念指数历史,1.3347537555
2026-07-01,1168.2970000000,1227.8550000000,1152.0530000000,1227.2860000000,6292654800,133333875000.0000000000,0.0471276823,,同花顺概念指数历史,1.5883758375
2026-07-02,1224.5910000000,1258.7950000000,1223.3100000000,1232.8580000000,5900894700,126492365000.0000000000,0.0045400990,,同花顺概念指数历史,1.4414051323
2026-07-03,1241.7820000000,1262.1960000000,1223.2250000000,1255.3240000000,5570361400,115788080000.0000000000,0.0182226988,,同花顺概念指数历史,1.3176332294
2026-07-06,1249.0120000000,1296.6820000000,1243.8080000000,1269.1850000000,6563636100,147811100000.0000000000,0.0110417709,,同花顺概念指数历史,1.4945855126
2026-07-07,1256.6820000000,1256.6820000000,1218.7780000000,1220.2820000000,4882702100,104713080000.0000000000,-0.0385310258,,同花顺概念指数历史,1.0945352002
2026-07-08,1220.0400000000,1238.9670000000,1206.0870000000,1206.3480000000,4609120900,88932018000.0000000000,-0.0114186721,,同花顺概念指数历史,1.0140459122
2026-07-09,1197.0440000000,1232.6830000000,1187.2420000000,1204.8790000000,4938277900,92175665000.0000000000,-0.0012177249,,同花顺概念指数历史,1.0639325323
2026-07-10,1198.6260000000,1258.5910000000,1188.5120000000,1241.3310000000,6223058900,119086886000.0000000000,0.0302536603,,同花顺概念指数历史,1.2962163351
2026-07-13,1239.3710000000,1257.2000000000,1234.6950000000,1240.0600000000,6670519000,115037554000.0000000000,-0.0010239010,,同花顺概念指数历史,1.3503271380
2026-07-14,1234.6140000000,1271.4740000000,1223.1980000000,1271.4740000000,7427853500,124100982000.0000000000,0.0253326452,,同花顺概念指数历史,1.4444291951
2026-07-15,1260.1690000000,1338.6230000000,1260.1690000000,1317.8640000000,8897653200,182489480000.0000000000,0.0364852132,,同花顺概念指数历史,1.6365520554
2026-07-16,1302.3540000000,1345.3240000000,1284.8170000000,1329.2340000000,8959626700,171137490000.0000000000,0.0086275974,,同花顺概念指数历史,1.5605156380
2026-07-17,1315.6440000000,1323.5270000000,1236.3340000000,1237.6870000000,8854179100,150967230000.0000000000,-0.0688719970,,同花顺概念指数历史,1.4734249399
2026-07-20,1226.0350000000,1266.5120000000,1218.7500000000,1239.6060000000,7847804900,132289903000.0000000000,0.0015504728,,同花顺概念指数历史,1.2681288284
2026-07-21,1230.9830000000,1230.9830000000,1184.0500000000,1227.8770000000,7320213300,127254541000.0000000000,-0.0094618774,,同花顺概念指数历史,1.1613256244
2026-07-22,1216.0770000000,1258.9380000000,1216.0770000000,1227.4080000000,6592571600,116591784000.0000000000,-0.0003819601,,同花顺概念指数历史,1.0342687359
2026-07-23,1217.4900000000,1237.3020000000,1208.0350000000,1229.1660000000,5610979300,93446010000.0000000000,0.0014322866,,同花顺概念指数历史,0.8747710220
2026-07-24,1219.2800000000,1224.0790000000,1179.0900000000,1179.0900000000,5204359200,87141521000.0000000000,-0.0407398187,,同花顺概念指数历史,0.8043473401
2026-07-27,1173.8610000000,1220.9010000000,1172.8270000000,1219.9060000000,5245495800,85424968000.0000000000,0.0346165263,,同花顺概念指数历史,0.8151992088
2026-07-28,1214.0890000000,1230.0440000000,1200.1730000000,1204.7270000000,5167829700,77121544000.0000000000,-0.0124427620,,同花顺概念指数历史,0.8025839483
2026-07-29,1206.3690000000,1216.7160000000,1196.4080000000,1209.1410000000,5321216200,85001588000.0000000000,0.0036639006,,同花顺概念指数历史,0.8326867617
2026-07-30,1204.8930000000,1223.3730000000,1178.9900000000,1184.2170000000,5438763500,86432835000.0000000000,-0.0206129806,,同花顺概念指数历史,0.8541695862
2026-07-31,1183.0260000000,1211.0420000000,1183.0260000000,1206.5830000000,4934488100,80895228000.0000000000,0.0188867412,,同花顺概念指数历史,0.7788611016
2026-08-03,1205.8180000000,1215.8780000000,1202.4340000000,1208.3350000000,4023635500,68945341000.0000000000,0.0014520344,,同花顺概念指数历史,0.6480831458
2026-08-04,1218.9360000000,1239.4080000000,1218.9360000000,1235.2810000000,4965495300,89039647000.0000000000,0.0223001072,,同花顺概念指数历史,0.7992546886
2026-08-05,1233.8240000000,1245.0420000000,1231.6570000000,1242.9600000000,5391536400,102410873000.0000000000,0.0062163993,,同花顺概念指数历史,0.8624005083
2026-08-06,1247.0590000000,1248.0530000000,1232.0260000000,1241.3740000000,5433069400,98332653000.0000000000,,,同花顺概念指数历史,0.8656184677
2026-08-07,1239.1670000000,1301.7600000000,1236.8420000000,1301.7600000000,7479379300,142450130000.0000000000,0.0486444859,,同花顺概念指数历史,1.1798368644
2026-08-10,1309.7180000000,1333.7350000000,1308.1340000000,1317.7310000000,7470191400,158284080000.0000000000,0.0122687746,,同花顺概念指数历史,1.1710017417
2026-08-11,1310.3410000000,1346.7490000000,1310.0930000000,1325.9550000000,7915428300,150690030000.0000000000,0.0062410310,,同花顺概念指数历史,1.2360718771
2026-08-12,1320.3220000000,1347.5330000000,1319.6070000000,1330.8720000000,7307563400,121026671000.0000000000,0.0037082706,,同花顺概念指数历史,1.1554937272
2026-08-13,1326.4760000000,1377.4660000000,1312.4910000000,1354.6010000000,9440751700,158645490000.0000000000,0.0178296636,,同花顺概念指数历史,1.4871429628
