日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理
2026-02-13,1515.0800000000,14474781.0000000000,29194854849.0000000000,-0.0094000000,0.0096000000,东方财富创新药BK1106历史K线直连,0.5922452092
2026-02-24,1518.0100000000,15516982.0000000000,30607792120.0000000000,0.0019000000,0.0103000000,东方财富创新药BK1106历史K线直连,0.6438395310
2026-02-25,1530.0900000000,18501170.0000000000,35148398982.0000000000,0.0080000000,0.0123000000,东方财富创新药BK1106历史K线直连,0.7760246076
2026-02-26,1515.6400000000,19420208.0000000000,37939745332.0000000000,-0.0094000000,0.0129000000,东方财富创新药BK1106历史K线直连,0.8210682642
2026-02-27,1521.5600000000,15765658.0000000000,30906257782.0000000000,0.0039000000,0.0105000000,东方财富创新药BK1106历史K线直连,0.6764366298
2026-03-02,1483.1200000000,24079612.0000000000,45111889377.0000000000,-0.0253000000,0.0160000000,东方财富创新药BK1106历史K线直连,1.0443690626
2026-03-03,1437.9900000000,23383314.0000000000,44476135958.0000000000,-0.0304000000,0.0155000000,东方财富创新药BK1106历史K线直连,1.0589622134
2026-03-04,1426.4000000000,18574951.0000000000,34576314441.0000000000,-0.0081000000,0.0123000000,东方财富创新药BK1106历史K线直连,0.8829135603
2026-03-05,1444.0700000000,16065007.0000000000,31345770716.0000000000,0.0124000000,0.0107000000,东方财富创新药BK1106历史K线直连,0.7882811781
2026-03-06,1487.5600000000,20815482.0000000000,39855315659.0000000000,0.0301000000,0.0138000000,东方财富创新药BK1106历史K线直连,1.0369749969
2026-03-09,1477.3800000000,20779712.0000000000,38239660208.0000000000,-0.0068000000,0.0138000000,东方财富创新药BK1106历史K线直连,1.0539533982
2026-03-10,1510.9400000000,18405692.0000000000,38077385828.0000000000,0.0227000000,0.0122000000,东方财富创新药BK1106历史K线直连,0.9492258311
2026-03-11,1500.5700000000,16579651.0000000000,33618525746.0000000000,-0.0069000000,0.0110000000,东方财富创新药BK1106历史K线直连,0.8629077936
2026-03-12,1487.1600000000,16390810.0000000000,31039460496.0000000000,-0.0089000000,0.0109000000,东方财富创新药BK1106历史K线直连,0.8611827711
2026-03-13,1478.9900000000,17632035.0000000000,32757809365.0000000000,-0.0055000000,0.0117000000,东方财富创新药BK1106历史K线直连,0.9295557045
2026-03-16,1487.8200000000,16190430.0000000000,32351441514.0000000000,0.0060000000,0.0108000000,东方财富创新药BK1106历史K线直连,0.8821429118
2026-03-17,1477.7800000000,19743075.0000000000,40126873385.0000000000,-0.0067000000,0.0131000000,东方财富创新药BK1106历史K线直连,1.0816775251
2026-03-18,1490.2500000000,16442317.0000000000,33286044116.0000000000,0.0084000000,0.0109000000,东方财富创新药BK1106历史K线直连,0.9106235156
2026-03-19,1456.2600000000,17290195.0000000000,33166928694.0000000000,-0.0228000000,0.0115000000,东方财富创新药BK1106历史K线直连,0.9534471395
2026-03-20,1426.1300000000,17377155.0000000000,33272322844.0000000000,-0.0207000000,0.0115000000,东方财富创新药BK1106历史K线直连,0.9562908564
2026-03-23,1346.9700000000,25935962.0000000000,44938791384.0000000000,-0.0555000000,0.0172000000,东方财富创新药BK1106历史K线直连,1.3836593275
2026-03-24,1399.5000000000,21272663.0000000000,41129155401.0000000000,0.0390000000,0.0141000000,东方财富创新药BK1106历史K线直连,1.1177163744
2026-03-25,1416.9900000000,18095390.0000000000,34805795164.0000000000,0.0125000000,0.0120000000,东方财富创新药BK1106历史K线直连,0.9517895229
2026-03-26,1406.7000000000,17508143.0000000000,35630170888.0000000000,-0.0073000000,0.0116000000,东方财富创新药BK1106历史K线直连,0.9255554716
2026-03-27,1471.8600000000,27299223.0000000000,58015227530.0000000000,0.0463000000,0.0181000000,东方财富创新药BK1106历史K线直连,1.4004599421
2026-03-30,1489.2800000000,29237665.0000000000,60087888417.0000000000,0.0118000000,0.0194000000,东方财富创新药BK1106历史K线直连,1.4803173758
2026-03-31,1483.5100000000,27906035.0000000000,58822417761.0000000000,-0.0039000000,0.0185000000,东方财富创新药BK1106历史K线直连,1.3969026249
2026-04-01,1561.2000000000,39950695.0000000000,89654096090.0000000000,0.0524000000,0.0265000000,东方财富创新药BK1106历史K线直连,1.8982679727
2026-04-02,1579.4900000000,51107829.0000000000,92823521016.0000000000,0.0117000000,0.0339000000,东方财富创新药BK1106历史K线直连,2.2417673120
2026-04-03,1539.9900000000,43954039.0000000000,74876318013.0000000000,-0.0250000000,0.0292000000,东方财富创新药BK1106历史K线直连,1.8348635691
2026-04-07,1543.5700000000,39734431.0000000000,65919659752.0000000000,0.0023000000,0.0264000000,东方财富创新药BK1106历史K线直连,1.5955890757
2026-04-08,1560.7600000000,41045704.0000000000,74679969094.0000000000,0.0111000000,0.0273000000,东方财富创新药BK1106历史K线直连,1.5765784738
2026-04-09,1531.5700000000,38613345.0000000000,66634138030.0000000000,-0.0187000000,0.0256000000,东方财富创新药BK1106历史K线直连,1.4229376820
2026-04-10,1536.4400000000,36886534.0000000000,61665889606.0000000000,0.0032000000,0.0245000000,东方财富创新药BK1106历史K线直连,1.3098379449
2026-04-13,1523.2100000000,29190615.0000000000,55455580060.0000000000,-0.0086000000,0.0194000000,东方财富创新药BK1106历史K线直连,1.0157118068
2026-04-14,1537.3300000000,29107941.0000000000,54892324720.0000000000,0.0093000000,0.0193000000,东方财富创新药BK1106历史K线直连,0.9905731737
2026-04-15,1574.7500000000,50787455.0000000000,87539089180.0000000000,0.0243000000,0.0337000000,东方财富创新药BK1106历史K线直连,1.6416323876
2026-04-16,1571.3700000000,41075193.0000000000,68650478999.0000000000,-0.0021000000,0.0273000000,东方财富创新药BK1106历史K线直连,1.2768639012
2026-04-17,1546.8300000000,33373020.0000000000,64254769488.0000000000,-0.0156000000,0.0222000000,东方财富创新药BK1106历史K线直连,1.0121332222
2026-04-20,1541.3400000000,29404065.0000000000,55791671234.0000000000,-0.0035000000,0.0195000000,东方财富创新药BK1106历史K线直连,0.8757909270
2026-04-21,1524.1300000000,26882500.0000000000,47815410148.0000000000,-0.0112000000,0.0179000000,东方财富创新药BK1106历史K线直连,0.7995598250
2026-04-22,1536.0000000000,25548597.0000000000,47167437052.0000000000,0.0078000000,0.0170000000,东方财富创新药BK1106历史K线直连,0.7550843549
2026-04-23,1510.9700000000,28040097.0000000000,56596165749.0000000000,-0.0163000000,0.0186000000,东方财富创新药BK1106历史K线直连,0.8167179596
2026-04-24,1501.7100000000,25720292.0000000000,49150018548.0000000000,-0.0061000000,0.0171000000,东方财富创新药BK1106历史K线直连,0.7402957933
2026-04-27,1507.6200000000,28215062.0000000000,51935100011.0000000000,0.0039000000,0.0187000000,东方财富创新药BK1106历史K线直连,0.8110327065
2026-04-28,1497.0600000000,29175361.0000000000,61469130848.0000000000,-0.0070000000,0.0194000000,东方财富创新药BK1106历史K线直连,0.8387112891
2026-04-29,1502.2100000000,27161658.0000000000,60900401367.0000000000,0.0034000000,0.0180000000,东方财富创新药BK1106历史K线直连,0.7816592010
2026-04-30,1507.6900000000,26046048.0000000000,55498805605.0000000000,0.0036000000,0.0173000000,东方财富创新药BK1106历史K线直连,0.7648569511
2026-05-06,1515.8400000000,27681523.0000000000,60519513902.0000000000,0.0054000000,0.0184000000,东方财富创新药BK1106历史K线直连,0.8418398066
2026-05-07,1520.4200000000,24856455.0000000000,53943742479.0000000000,0.0030000000,0.0165000000,东方财富创新药BK1106历史K线直连,0.7785330751
2026-05-08,1516.9800000000,24419168.0000000000,52832943390.0000000000,-0.0023000000,0.0162000000,东方财富创新药BK1106历史K线直连,0.7836318277
2026-05-11,1544.8900000000,36043167.0000000000,76192061993.0000000000,0.0184000000,0.0239000000,东方财富创新药BK1106历史K线直连,1.1660151725
2026-05-12,1523.5600000000,31943422.0000000000,77004264042.0000000000,-0.0138000000,0.0212000000,东方财富创新药BK1106历史K线直连,1.0446568588
2026-05-13,1516.7400000000,25796890.0000000000,58643478076.0000000000,-0.0045000000,0.0171000000,东方财富创新药BK1106历史K线直连,0.8592253800
2026-05-14,1485.5900000000,25044504.0000000000,56500993983.0000000000,-0.0205000000,0.0166000000,东方财富创新药BK1106历史K线直连,0.8399652015
2026-05-15,1475.3100000000,23811324.0000000000,52767369459.0000000000,-0.0069000000,0.0158000000,东方财富创新药BK1106历史K线直连,0.8057625897
2026-05-18,1454.9300000000,21828927.0000000000,45885859610.0000000000,-0.0138000000,0.0145000000,东方财富创新药BK1106历史K线直连,0.7767371647
2026-05-19,1463.6000000000,19048009.0000000000,41207069488.0000000000,0.0060000000,0.0126000000,东方财富创新药BK1106历史K线直连,0.7054294445
2026-05-20,1452.9200000000,23244731.0000000000,45204760309.0000000000,-0.0073000000,0.0154000000,东方财富创新药BK1106历史K线直连,0.8773056573
2026-05-21,1440.0800000000,26815028.0000000000,62177139346.0000000000,-0.0088000000,0.0178000000,东方财富创新药BK1106历史K线直连,1.0170252408
2026-05-22,1434.2500000000,22034665.0000000000,48665273964.0000000000,-0.0040000000,0.0146000000,东方财富创新药BK1106历史K线直连,0.8434726269
2026-05-25,1419.5800000000,23547635.0000000000,45580044797.0000000000,-0.0102000000,0.0156000000,东方财富创新药BK1106历史K线直连,0.9048535196
2026-05-26,1404.2100000000,22186357.0000000000,43074156466.0000000000,-0.0108000000,0.0147000000,东方财富创新药BK1106历史K线直连,0.8622419361
2026-05-27,1392.1700000000,23062271.0000000000,45817858336.0000000000,-0.0086000000,0.0153000000,东方财富创新药BK1106历史K线直连,0.9009364666
2026-05-28,1376.6500000000,20665035.0000000000,41797045168.0000000000,-0.0111000000,0.0137000000,东方财富创新药BK1106历史K线直连,0.8193709788
2026-05-29,1381.5300000000,27609031.0000000000,59640373112.0000000000,0.0035000000,0.0183000000,东方财富创新药BK1106历史K线直连,1.0981111253
2026-06-01,1379.9500000000,22880665.0000000000,52024285566.0000000000,-0.0011000000,0.0152000000,东方财富创新药BK1106历史K线直连,0.9178611276
2026-06-02,1352.5100000000,20527748.0000000000,41170886656.0000000000,-0.0199000000,0.0136000000,东方财富创新药BK1106历史K线直连,0.8326900489
2026-06-03,1337.3600000000,22163121.0000000000,39562765988.0000000000,-0.0112000000,0.0147000000,东方财富创新药BK1106历史K线直连,0.9092037399
2026-06-04,1315.6000000000,18850506.0000000000,34772525893.0000000000,-0.0163000000,0.0125000000,东方财富创新药BK1106历史K线直连,0.7829547981
2026-06-05,1317.7700000000,22503830.0000000000,42402619583.0000000000,0.0016000000,0.0149000000,东方财富创新药BK1106历史K线直连,0.9384281834
2026-06-08,1282.6600000000,22983691.0000000000,39328140693.0000000000,-0.0266000000,0.0153000000,东方财富创新药BK1106历史K线直连,0.9852671558
2026-06-09,1288.3000000000,19054893.0000000000,37791113271.0000000000,0.0044000000,0.0127000000,东方财富创新药BK1106历史K线直连,0.8400538219
2026-06-10,1290.1100000000,19482569.0000000000,35877527363.0000000000,0.0014000000,0.0129000000,东方财富创新药BK1106历史K线直连,0.8710319344
2026-06-11,1271.7500000000,19475482.0000000000,32899276815.0000000000,-0.0142000000,0.0129000000,东方财富创新药BK1106历史K线直连,0.8816913209
2026-06-12,1296.1500000000,25724157.0000000000,48503441456.0000000000,0.0192000000,0.0171000000,东方财富创新药BK1106历史K线直连,1.1595597199
2026-06-15,1295.5000000000,22090667.0000000000,38920553651.0000000000,-0.0005000000,0.0147000000,东方财富创新药BK1106历史K线直连,0.9951869567
2026-06-16,1283.5600000000,19183376.0000000000,33790773038.0000000000,-0.0092000000,0.0127000000,东方财富创新药BK1106历史K线直连,0.8639497491
2026-06-17,1269.9200000000,18385971.0000000000,32125034041.0000000000,-0.0106000000,0.0122000000,东方财富创新药BK1106历史K线直连,0.8371973327
2026-06-18,1284.5300000000,23263879.0000000000,49311400041.0000000000,0.0115000000,0.0154000000,东方财富创新药BK1106历史K线直连,1.0679451281
2026-06-22,1280.3600000000,27954003.0000000000,53650543284.0000000000,-0.0032000000,0.0186000000,东方财富创新药BK1106历史K线直连,1.2660474033
2026-06-23,1322.2500000000,32743331.0000000000,63505130721.0000000000,0.0327000000,0.0217000000,东方财富创新药BK1106历史K线直连,1.4527069657
2026-06-24,1317.0200000000,33684473.0000000000,71816298023.0000000000,-0.0040000000,0.0224000000,东方财富创新药BK1106历史K线直连,1.4572916480
2026-06-25,1303.2500000000,31037143.0000000000,62953292178.0000000000,-0.0105000000,0.0206000000,东方财富创新药BK1106历史K线直连,1.3199892534
2026-06-26,1253.0900000000,26096509.0000000000,52804590729.0000000000,-0.0385000000,0.0173000000,东方财富创新药BK1106历史K线直连,1.0971949056
2026-06-29,1337.5200000000,39581529.0000000000,90127827043.0000000000,0.0674000000,0.0263000000,东方财富创新药BK1106历史K线直连,1.6232997077
2026-06-30,1322.1000000000,35285829.0000000000,77297787614.0000000000,-0.0115000000,0.0234000000,东方财富创新药BK1106历史K线直连,1.4112279477
2026-07-01,1389.5300000000,45357955.0000000000,104771139570.0000000000,0.0510000000,0.0301000000,东方财富创新药BK1106历史K线直连,1.7282416916
2026-07-02,1393.0900000000,41770894.0000000000,97944223354.0000000000,0.0026000000,0.0277000000,东方财富创新药BK1106历史K线直连,1.5342543314
2026-07-03,1423.0400000000,40505891.0000000000,90423376580.0000000000,0.0215000000,0.0269000000,东方财富创新药BK1106历史K线直连,1.4308837284
2026-07-06,1442.7700000000,48472246.0000000000,117374199185.0000000000,0.0139000000,0.0322000000,东方财富创新药BK1106历史K线直连,1.6372039455
2026-07-07,1385.4100000000,35585777.0000000000,81922198372.0000000000,-0.0398000000,0.0236000000,东方财富创新药BK1106历史K线直连,1.1769017628
2026-07-08,1365.8300000000,33420538.0000000000,68696772644.0000000000,-0.0141000000,0.0222000000,东方财富创新药BK1106历史K线直连,1.0796452338
2026-07-09,1366.3100000000,35541431.0000000000,70649591996.0000000000,0.0004000000,0.0236000000,东方财富创新药BK1106历史K线直连,1.1191312586
2026-07-10,1410.6400000000,43262637.0000000000,91350342570.0000000000,0.0324000000,0.0287000000,东方财富创新药BK1106历史K线直连,1.3130815028
2026-07-13,1406.1100000000,45456202.0000000000,85852289182.0000000000,-0.0032000000,0.0302000000,东方财富创新药BK1106历史K线直连,1.3395468609
2026-07-14,1441.4800000000,49743279.0000000000,92000893071.0000000000,0.0252000000,0.0330000000,东方财富创新药BK1106历史K线直连,1.4084939125
2026-07-15,1501.9500000000,62962274.0000000000,141889356618.0000000000,0.0419000000,0.0418000000,东方财富创新药BK1106历史K线直连,1.6787437487
2026-07-16,1514.8400000000,63677975.0000000000,133210026171.0000000000,0.0086000000,0.0423000000,东方财富创新药BK1106历史K线直连,1.6011483828
2026-07-17,1405.4300000000,68185811.0000000000,116978609502.0000000000,-0.0722000000,0.0453000000,东方财富创新药BK1106历史K线直连,1.6228424005
2026-07-20,1413.3300000000,59825236.0000000000,102904049680.0000000000,0.0056000000,0.0397000000,东方财富创新药BK1106历史K线直连,1.3718285833
2026-07-21,1400.1900000000,54668763.0000000000,98010530801.0000000000,-0.0093000000,0.0363000000,东方财富创新药BK1106历史K线直连,1.2228474198
2026-07-22,1403.6900000000,49685585.0000000000,90376294841.0000000000,0.0025000000,0.0330000000,东方财富创新药BK1106历史K线直连,1.0918426957
2026-07-23,1401.6700000000,42679821.0000000000,73104132977.0000000000,-0.0014000000,0.0283000000,东方财富创新药BK1106历史K线直连,0.9260444098
2026-07-24,1342.6600000000,38857481.0000000000,67685455279.0000000000,-0.0421000000,0.0258000000,东方财富创新药BK1106历史K线直连,0.8315966173
2026-07-27,1388.6600000000,38090685.0000000000,66017424948.0000000000,0.0343000000,0.0253000000,东方财富创新药BK1106历史K线直连,0.8164888031
2026-07-28,1369.0900000000,38657304.0000000000,59687369377.0000000000,-0.0141000000,0.0257000000,东方财富创新药BK1106历史K线直连,0.8256510597
2026-07-29,1372.0500000000,39611513.0000000000,66036023410.0000000000,0.0022000000,0.0263000000,东方财富创新药BK1106历史K线直连,0.8512551488
2026-07-30,1339.5600000000,40685701.0000000000,66546441317.0000000000,-0.0237000000,0.0270000000,东方财富创新药BK1106历史K线直连,0.8753602596
2026-07-31,1364.6400000000,37119223.0000000000,62946514713.0000000000,0.0187000000,0.0247000000,东方财富创新药BK1106历史K线直连,0.8015470640
2026-08-03,1364.6100000000,30952326.0000000000,54169981088.0000000000,0.0000000000,0.0206000000,东方财富创新药BK1106历史K线直连,0.6812669268
2026-08-04,1397.0400000000,37113336.0000000000,68327175145.0000000000,0.0238000000,0.0246000000,东方财富创新药BK1106历史K线直连,0.8155010633
2026-08-05,1408.9500000000,40883189.0000000000,81260248163.0000000000,0.0085000000,0.0272000000,东方财富创新药BK1106历史K线直连,0.8910315184
2026-08-06,1406.4000000000,41558451.0000000000,78546633339.0000000000,-0.0018000000,0.0276000000,东方财富创新药BK1106历史K线直连,0.8998483314
2026-08-07,1482.8200000000,55065279.0000000000,112898401493.0000000000,0.0543000000,0.0366000000,东方财富创新药BK1106历史K线直连,1.1772632727
2026-08-10,1498.6500000000,55727279.0000000000,126227825107.0000000000,0.0107000000,0.0370000000,东方财富创新药BK1106历史K线直连,1.1784773754
2026-08-11,1513.9100000000,61739256.0000000000,121436370726.0000000000,0.0102000000,0.0410000000,东方财富创新药BK1106历史K线直连,1.2892609218
2026-08-12,1518.2500000000,57140304.0000000000,100678512545.0000000000,0.0029000000,0.0379000000,东方财富创新药BK1106历史K线直连,1.2005217414
2026-08-13,1546.6700000000,70817912.0000000000,129316966098.0000000000,0.0187000000,0.0470000000,东方财富创新药BK1106历史K线直连,1.4768123588
2026-08-14,1538.3900000000,65909757.0000000000,103727030799.0000000000,-0.0054000000,0.0438000000,东方财富创新药BK1106历史K线直连,1.3777290137
