日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-01-20,1572.3700000000,23695969.0000000000,48806169711.0000000000,-0.0049000000,0.0157000000,东方财富创新药BK1106历史K线直连,0.7838367357,2026-01-20,488.0616971100,27628.5532820200,0.0176651196
2026-01-21,1575.5300000000,23192024.0000000000,45295439178.0000000000,0.0020000000,0.0154000000,东方财富创新药BK1106历史K线直连,0.7811575104,2026-01-21,452.9543917800,25872.4621560900,0.0175072009
2026-01-22,1567.7800000000,22674494.0000000000,44935412543.0000000000,-0.0049000000,0.0151000000,东方财富创新药BK1106历史K线直连,0.7768364286,2026-01-22,449.3541254300,26774.6534883000,0.0167828176
2026-01-23,1595.4200000000,29085883.0000000000,56188853087.0000000000,0.0176000000,0.0193000000,东方财富创新药BK1106历史K线直连,0.9967259902,2026-01-23,561.8885308700,30694.0882275100,0.0183060831
2026-01-26,1602.1400000000,42888573.0000000000,73972546170.0000000000,0.0042000000,0.0285000000,东方财富创新药BK1106历史K线直连,1.4278048300,2026-01-26,739.7254617000,32302.7342411500,0.0228997786
2026-01-27,1579.4100000000,39437045.0000000000,63733483014.0000000000,-0.0142000000,0.0262000000,东方财富创新药BK1106历史K线直连,1.2891715702,2026-01-27,637.3348301400,28789.7887984200,0.0221375306
2026-01-28,1552.9000000000,29234035.0000000000,55842257146.0000000000,-0.0168000000,0.0194000000,东方财富创新药BK1106历史K线直连,0.9580026036,2026-01-28,558.4225714600,29475.0839462400,0.0189455804
2026-01-29,1541.0000000000,26945880.0000000000,55072865951.0000000000,-0.0077000000,0.0179000000,东方财富创新药BK1106历史K线直连,0.8884898223,2026-01-29,550.7286595100,32100.9071567700,0.0171561712
2026-01-30,1530.7000000000,27925798.0000000000,52547938959.0000000000,-0.0067000000,0.0185000000,东方财富创新药BK1106历史K线直连,0.9244616113,2026-01-30,525.4793895900,28194.9240739400,0.0186373756
2026-02-02,1489.9400000000,24920782.0000000000,47401965698.0000000000,-0.0266000000,0.0166000000,东方财富创新药BK1106历史K线直连,0.8298722110,2026-02-02,474.0196569800,25696.7233278900,0.0184466965
2026-02-03,1513.9200000000,20109942.0000000000,39256164674.0000000000,0.0161000000,0.0134000000,东方财富创新药BK1106历史K线直连,0.6750381870,2026-02-03,392.5616467400,25305.8726816300,0.0155126698
2026-02-04,1526.6300000000,20006696.0000000000,40181990760.0000000000,0.0084000000,0.0133000000,东方财富创新药BK1106历史K线直连,0.6767972878,2026-02-04,401.8199076000,24683.4458016100,0.0162789228
2026-02-05,1524.7200000000,18925353.0000000000,40021070775.0000000000,-0.0013000000,0.0126000000,东方财富创新药BK1106历史K线直连,0.6485972233,2026-02-05,400.2107077500,21599.2351802600,0.0185289296
2026-02-06,1532.3300000000,28484760.0000000000,48784704241.0000000000,0.0050000000,0.0189000000,东方财富创新药BK1106历史K线直连,0.9787288660,2026-02-06,487.8470424100,21320.4339350800,0.0228816657
2026-02-09,1543.1200000000,21768042.0000000000,39650562508.0000000000,0.0070000000,0.0145000000,东方财富创新药BK1106历史K线直连,0.7628715667,2026-02-09,396.5056250800,22369.9597174800,0.0177249146
2026-02-10,1553.2900000000,20365635.0000000000,43871302048.0000000000,0.0066000000,0.0135000000,东方财富创新药BK1106历史K线直连,0.7447078824,2026-02-10,438.7130204800,20841.3697252100,0.0210501050
2026-02-11,1542.9400000000,15724298.0000000000,32559799564.0000000000,-0.0067000000,0.0104000000,东方财富创新药BK1106历史K线直连,0.6106482303,2026-02-11,325.5979956400,19696.4378715200,0.0165308061
2026-02-12,1529.4000000000,16636985.0000000000,33640737334.0000000000,-0.0088000000,0.0110000000,东方财富创新药BK1106历史K线直连,0.6630738780,2026-02-12,336.4073733400,21292.9337721600,0.0157990147
2026-02-13,1515.0800000000,14474781.0000000000,29194854849.0000000000,-0.0094000000,0.0096000000,东方财富创新药BK1106历史K线直连,0.5922452092,2026-02-13,291.9485484900,19701.8264009100,0.0148183495
2026-02-24,1518.0100000000,15516982.0000000000,30607792120.0000000000,0.0019000000,0.0103000000,东方财富创新药BK1106历史K线直连,0.6438395310,2026-02-24,306.0779212000,21886.6842943600,0.0139846638
2026-02-25,1530.0900000000,18501170.0000000000,35148398982.0000000000,0.0080000000,0.0123000000,东方财富创新药BK1106历史K线直连,0.7760246076,2026-02-25,351.4839898200,24458.6092301300,0.0143705632
2026-02-26,1515.6400000000,19420208.0000000000,37939745332.0000000000,-0.0094000000,0.0129000000,东方财富创新药BK1106历史K线直连,0.8210682642,2026-02-26,379.3974533200,25237.6097035800,0.0150330185
2026-02-27,1521.5600000000,15765658.0000000000,30906257782.0000000000,0.0039000000,0.0105000000,东方财富创新药BK1106历史K线直连,0.6764366298,2026-02-27,309.0625778200,24726.3430202300,0.0124993242
2026-03-02,1483.1200000000,24079612.0000000000,45111889377.0000000000,-0.0253000000,0.0160000000,东方财富创新药BK1106历史K线直连,1.0443690626,2026-03-02,451.1188937700,30044.0054521200,0.0150152713
2026-03-03,1437.9900000000,23383314.0000000000,44476135958.0000000000,-0.0304000000,0.0155000000,东方财富创新药BK1106历史K线直连,1.0589622134,2026-03-03,444.7613595800,31113.3003133200,0.0142948950
2026-03-04,1426.4000000000,18574951.0000000000,34576314441.0000000000,-0.0081000000,0.0123000000,东方财富创新药BK1106历史K线直连,0.8829135603,2026-03-04,345.7631444100,23523.6635578900,0.0146985245
2026-03-05,1444.0700000000,16065007.0000000000,31345770716.0000000000,0.0124000000,0.0107000000,东方财富创新药BK1106历史K线直连,0.7882811781,2026-03-05,313.4577071600,23768.5069028300,0.0131879427
2026-03-06,1487.5600000000,20815482.0000000000,39855315659.0000000000,0.0301000000,0.0138000000,东方财富创新药BK1106历史K线直连,1.0369749969,2026-03-06,398.5531565900,21845.8783081400,0.0182438605
2026-03-09,1477.3800000000,20779712.0000000000,38239660208.0000000000,-0.0068000000,0.0138000000,东方财富创新药BK1106历史K线直连,1.0539533982,2026-03-09,382.3966020800,26327.0866364700,0.0145248355
2026-03-10,1510.9400000000,18405692.0000000000,38077385828.0000000000,0.0227000000,0.0122000000,东方财富创新药BK1106历史K线直连,0.9492258311,2026-03-10,380.7738582800,23842.4380489600,0.0159704246
2026-03-11,1500.5700000000,16579651.0000000000,33618525746.0000000000,-0.0069000000,0.0110000000,东方财富创新药BK1106历史K线直连,0.8629077936,2026-03-11,336.1852574600,24937.7441743200,0.0134809811
