date,direction,stock_code,stock_name,close,return,amount_100m,turnover,industry,source
2026-08-31,limit_up,600722,金牛化工,16.8000000000,0.1001964664,26.3558140800,0.2368031311,化学原料,东方财富涨跌停池直接接口
2026-08-31,limit_up,603459,红板科技,94.9700000000,0.0999536705,19.7209732800,0.2724643326,元件,东方财富涨跌停池直接接口
2026-08-31,limit_up,600246,万通发展,13.3300000000,0.0998349857,18.9262536000,0.0792375660,房地产开,东方财富涨跌停池直接接口
2026-08-31,limit_up,002886,沃特股份,29.0400000000,0.1000000000,18.8596531200,0.3139282036,塑料,东方财富涨跌停池直接接口
2026-08-31,limit_up,600110,诺德股份,12.0300000000,0.0996343708,16.9941566400,0.0827534294,电池,东方财富涨跌停池直接接口
2026-08-31,limit_up,002081,金 螳 螂,6.1600000000,0.1000000000,15.9793592000,0.1018116379,装修装饰,东方财富涨跌停池直接接口
2026-08-31,limit_up,002418,康盛股份,5.3900000000,0.1000000000,14.7432428800,0.2561755562,家电零部,东方财富涨跌停池直接接口
2026-08-31,limit_up,603236,移远通信,61.6400000000,0.0999286270,13.8324608000,0.0573383570,通信设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,603989,艾华集团,31.4600000000,0.1000000000,12.6221272000,0.1024164772,元件,东方财富涨跌停池直接接口
2026-08-31,limit_up,603269,海鸥股份,24.4000000000,0.1000901699,10.8946665600,0.1054949284,通用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,300413,芒果超媒,16.9800000000,0.2000000000,10.8673544000,0.0641404009,数字媒体,东方财富涨跌停池直接接口
2026-08-31,limit_up,003018,金富科技,49.3800000000,0.1000222778,10.8494184000,0.0793306303,包装印刷,东方财富涨跌停池直接接口
2026-08-31,limit_up,600227,赤天化,5.0400000000,0.1004366779,10.4480761600,0.1653884315,农化制品,东方财富涨跌停池直接接口
2026-08-31,limit_up,002141,贤丰控股,7.1000000000,0.1007751942,10.3861283200,0.1463882160,元件,东方财富涨跌停池直接接口
2026-08-31,limit_up,301218,华是科技,58.1400000000,0.2000000000,9.4060012800,0.2416545296,IT服务Ⅱ,东方财富涨跌停池直接接口
2026-08-31,limit_up,603533,掌阅科技,22.5900000000,0.0998052597,8.4576337600,0.0878274250,数字媒体,东方财富涨跌停池直接接口
2026-08-31,limit_up,002881,美格智能,44.9000000000,0.0999510098,7.7410744000,0.0963542080,通信设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,301262,海看股份,22.3300000000,0.1998925400,7.3696164800,0.2864679146,广告营销,东方财富涨跌停池直接接口
2026-08-31,limit_up,300911,亿田智能,26.6300000000,0.2000901222,7.2110116800,0.1695709038,厨卫电器,东方财富涨跌停池直接接口
2026-08-31,limit_up,603950,长源东谷,65.8400000000,0.1000835419,7.1773460800,0.0353046799,汽车零部,东方财富涨跌停池直接接口
2026-08-31,limit_up,001330,博纳影业,5.6100000000,0.1000000000,7.0282465600,0.1110835266,影视院线,东方财富涨跌停池直接接口
2026-08-31,limit_up,603068,博通集成,39.3100000000,0.0998880768,6.4540084800,0.1119249344,半导体,东方财富涨跌停池直接接口
